ixdat version = 0.2.5
name = C:\Users\scott\Dropbox\ixdat_resources\test_data\sec\test-7SEC.csv
technique = EC-Optical
tstamp = 1
backend_name = BackendBase(none, address=none)
id = 1
timecol 'time from scan rate' for: '$U_{RHE}$ / [V]' and 'J / [mA cm$^{-2}$]' and 'selector'
aliases = {"raw_potential": ["$U_{RHE}$ / [V]"], "raw_current": ["J / [mA cm$^{-2}$]"], "t": ["time from scan rate"]}
'spectrum_series' in file: 'exported_sec_spectra.csv'
'reference_spectrum' in file: 'exported_sec_reference.csv'
N_header_lines = 13

time from scan rate,	$U_{RHE}$ / [V],	J / [mA cm$^{-2}$],	selector
262.00000000000006,	0.922,	0.028808,	0
263.00000000000006,	0.923,	0.0285461,	0
264.00000000000006,	0.924,	0.0283091,	0
265.00000000000006,	0.925,	0.0284837,	0
266.00000000000006,	0.926,	0.028184400000000002,	0
267.00000000000006,	0.927,	0.0283465,	0
268.00000000000006,	0.928,	0.0280472,	0
269.00000000000006,	0.929,	0.0284338,	0
270.00000000000006,	0.93,	0.0283839,	0
271.00000000000006,	0.931,	0.0281594,	0
272.00000000000006,	0.932,	0.028084599999999998,	0
273.00000000000006,	0.933,	0.0276605,	0
274.00000000000006,	0.934,	0.0277478,	0
275.00000000000006,	0.935,	0.0277853,	0
276.00000000000006,	0.936,	0.0275982,	0
277.00000000000006,	0.937,	0.0274735,	0
278.00000000000006,	0.9380000000000001,	0.0273363,	0
279.00000000000006,	0.9390000000000001,	0.0277728,	0
280.00000000000006,	0.9400000000000001,	0.027361200000000002,	0
281.00000000000006,	0.9410000000000001,	0.027261399999999998,	0
282.00000000000006,	0.9420000000000001,	0.0270868,	0
283.00000000000006,	0.9430000000000001,	0.0275233,	0
284.00000000000006,	0.9440000000000001,	0.027361200000000002,	0
285.00000000000006,	0.9450000000000001,	0.0270743,	0
286.00000000000006,	0.9460000000000001,	0.0268873,	0
287.00000000000006,	0.9470000000000001,	0.0273862,	0
288.00000000000006,	0.948,	0.0266004,	0
289.00000000000006,	0.949,	0.0271242,	0
290.00000000000006,	0.95,	0.0270619,	0
291.00000000000006,	0.951,	0.0266628,	0
292.00000000000006,	0.952,	0.0269496,	0
293.00000000000006,	0.953,	0.0264133,	0
294.00000000000006,	0.954,	0.0267625,	0
295.00000000000006,	0.955,	0.0262637,	0
296.00000000000006,	0.956,	0.0267002,	0
297.00000000000006,	0.957,	0.0264133,	0
298.00000000000006,	0.958,	0.0264258,	0
299.00000000000006,	0.959,	0.026326,	0
300.00000000000006,	0.96,	0.026076600000000002,	0
301.00000000000006,	0.961,	0.0262138,	0
302.00000000000006,	0.962,	0.0260392,	0
303.00000000000006,	0.963,	0.0262761,	0
304.00000000000006,	0.964,	0.0257398,	0
305.00000000000006,	0.965,	0.0259519,	0
306.00000000000006,	0.966,	0.0258895,	0
307.00000000000006,	0.967,	0.0256775,	0
308.00000000000006,	0.968,	0.0257772,	0
309.00000000000006,	0.969,	0.0258396,	0
310.00000000000006,	0.97,	0.025153599999999998,	0
311.00000000000006,	0.971,	0.0258271,	0
312.00000000000006,	0.972,	0.0255029,	0
313.00000000000006,	0.973,	0.0253532,	0
314.00000000000006,	0.974,	0.0254031,	0
315.00000000000006,	0.975,	0.025303299999999997,	0
316.00000000000006,	0.976,	0.025453,	0
317.00000000000006,	0.977,	0.025116199999999998,	0
318.00000000000006,	0.978,	0.0252035,	0
319.00000000000006,	0.979,	0.0251911,	0
320.00000000000006,	0.98,	0.0250539,	0
321.00000000000006,	0.981,	0.0252285,	0
322.00000000000006,	0.982,	0.0249042,	0
323.00000000000006,	0.983,	0.0253657,	0
324.00000000000006,	0.984,	0.0246672,	0
325.00000000000006,	0.985,	0.024978999999999998,	0
326.00000000000006,	0.986,	0.0246049,	0
327.00000000000006,	0.987,	0.024717100000000002,	0
328.00000000000006,	0.988,	0.0247795,	0
329.00000000000006,	0.989,	0.0246922,	0
330.00000000000006,	0.99,	0.0246672,	0
331.00000000000006,	0.991,	0.0245674,	0
332.00000000000006,	0.992,	0.024293099999999998,	0
333.00000000000006,	0.993,	0.024617299999999998,	0
334.00000000000006,	0.994,	0.0244178,	0
335.00000000000006,	0.995,	0.0241683,	0
336.00000000000006,	0.996,	0.0242806,	0
337.00000000000006,	0.997,	0.024043600000000002,	0
338.00000000000006,	0.998,	0.0244053,	0
339.00000000000006,	0.999,	0.0240686,	0
340.00000000000006,	1.0,	0.0243429,	0
341.00000000000006,	1.001,	0.0241434,	0
342.00000000000006,	1.002,	0.023943799999999998,	0
343.00000000000006,	1.0030000000000001,	0.0241309,	0
344.00000000000006,	1.004,	0.0240686,	0
345.00000000000006,	1.005,	0.0241434,	0
346.00000000000006,	1.006,	0.0237193,	0
347.00000000000006,	1.0070000000000001,	0.0242057,	0
348.00000000000006,	1.008,	0.024268099999999997,	0
349.00000000000006,	1.009,	0.0238316,	0
350.00000000000006,	1.01,	0.0240311,	0
351.00000000000006,	1.0110000000000001,	0.0236694,	0
352.00000000000006,	1.012,	0.0236445,	0
353.00000000000006,	1.013,	0.024118399999999998,	0
354.00000000000006,	1.014,	0.023706900000000003,	0
355.00000000000006,	1.0150000000000001,	0.0234824,	0
356.00000000000006,	1.016,	0.0236944,	0
357.00000000000006,	1.017,	0.023632,	0
358.00000000000006,	1.018,	0.0238815,	0
359.00000000000006,	1.0190000000000001,	0.023657,	0
360.00000000000006,	1.02,	0.0236196,	0
361.00000000000006,	1.021,	0.023706900000000003,	0
362.00000000000006,	1.022,	0.0236196,	0
363.00000000000006,	1.0230000000000001,	0.023532300000000003,	0
364.00000000000006,	1.024,	0.0233826,	0
365.00000000000006,	1.025,	0.024118399999999998,	0
366.00000000000006,	1.026,	0.0233826,	0
367.00000000000006,	1.0270000000000001,	0.0232828,	0
368.00000000000006,	1.028,	0.023706900000000003,	0
369.00000000000006,	1.029,	0.0236071,	0
370.00000000000006,	1.03,	0.0236071,	0
371.00000000000006,	1.0310000000000001,	0.023706900000000003,	0
372.00000000000006,	1.032,	0.0232953,	0
373.00000000000006,	1.033,	0.023357600000000003,	0
374.00000000000006,	1.034,	0.0235447,	0
375.00000000000006,	1.0350000000000001,	0.023681900000000002,	0
376.00000000000006,	1.036,	0.0232703,	0
377.00000000000006,	1.037,	0.02342,	0
378.00000000000006,	1.038,	0.02342,	0
379.00000000000006,	1.0390000000000001,	0.0238066,	0
380.00000000000006,	1.04,	0.0236445,	0
381.00000000000006,	1.041,	0.023532300000000003,	0
382.00000000000006,	1.042,	0.023370099999999998,	0
383.00000000000006,	1.0430000000000001,	0.0234574,	0
384.0000000000001,	1.044,	0.023257899999999998,	0
385.0000000000001,	1.045,	0.0236445,	0
386.0000000000001,	1.046,	0.023632,	0
387.0000000000001,	1.0470000000000002,	0.0235447,	0
388.0000000000001,	1.048,	0.023657,	0
389.0000000000001,	1.049,	0.0238939,	0
390.0000000000001,	1.05,	0.0235198,	0
391.0000000000001,	1.0510000000000002,	0.0233078,	0
392.0000000000001,	1.052,	0.023407499999999998,	0
393.0000000000001,	1.053,	0.023532300000000003,	0
394.0000000000001,	1.054,	0.0235572,	0
395.0000000000001,	1.0550000000000002,	0.0235447,	0
396.0000000000001,	1.056,	0.023582099999999998,	0
397.0000000000001,	1.057,	0.0236445,	0
398.0000000000001,	1.058,	0.0234948,	0
399.0000000000001,	1.0590000000000002,	0.0236071,	0
400.0000000000001,	1.06,	0.0232703,	0
401.0000000000001,	1.061,	0.0238939,	0
402.0000000000001,	1.062,	0.0230583,	0
403.0000000000001,	1.0630000000000002,	0.0237942,	0
404.0000000000001,	1.064,	0.0234574,	0
405.0000000000001,	1.065,	0.023856500000000003,	0
406.0000000000001,	1.066,	0.023507300000000002,	0
407.0000000000001,	1.0670000000000002,	0.0239189,	0
408.0000000000001,	1.068,	0.0237193,	0
409.0000000000001,	1.069,	0.0236445,	0
410.0000000000001,	1.07,	0.0237942,	0
411.0000000000001,	1.0710000000000002,	0.023756799999999998,	0
412.0000000000001,	1.072,	0.023731799999999997,	0
413.0000000000001,	1.073,	0.0238066,	0
414.0000000000001,	1.0739999999999998,	0.023756799999999998,	0
415.0000000000001,	1.075,	0.023681900000000002,	0
416.0000000000001,	1.076,	0.0238815,	0
417.0000000000001,	1.077,	0.0237692,	0
418.0000000000001,	1.0779999999999998,	0.023906399999999998,	0
419.0000000000001,	1.079,	0.0240561,	0
420.0000000000001,	1.08,	0.0238066,	0
421.0000000000001,	1.081,	0.0241933,	0
422.0000000000001,	1.0819999999999999,	0.023681900000000002,	0
423.0000000000001,	1.083,	0.0241933,	0
424.0000000000001,	1.084,	0.0238191,	0
425.0000000000001,	1.085,	0.0240935,	0
426.0000000000001,	1.0859999999999999,	0.024392800000000003,	0
427.0000000000001,	1.087,	0.024080999999999998,	0
428.0000000000001,	1.088,	0.023906399999999998,	0
429.0000000000001,	1.089,	0.024318,	0
430.0000000000001,	1.0899999999999999,	0.0240935,	0
431.0000000000001,	1.091,	0.024080999999999998,	0
432.0000000000001,	1.092,	0.0243305,	0
433.0000000000001,	1.093,	0.024106,	0
434.0000000000001,	1.0939999999999999,	0.0242432,	0
435.0000000000001,	1.095,	0.0240187,	0
436.0000000000001,	1.096,	0.024268099999999997,	0
437.0000000000001,	1.097,	0.0244677,	0
438.0000000000001,	1.0979999999999999,	0.024118399999999998,	0
439.0000000000001,	1.099,	0.0245176,	0
440.0000000000001,	1.1,	0.0244053,	0
441.0000000000001,	1.101,	0.024318,	0
442.0000000000001,	1.1019999999999999,	0.0244801,	0
443.0000000000001,	1.103,	0.0244053,	0
444.0000000000001,	1.104,	0.0246298,	0
445.0000000000001,	1.105,	0.0243554,	0
446.0000000000001,	1.1059999999999999,	0.024392800000000003,	0
447.0000000000001,	1.107,	0.0248917,	0
448.0000000000001,	1.108,	0.0245674,	0
449.0000000000001,	1.109,	0.024442699999999998,	0
450.0000000000001,	1.1099999999999999,	0.0246797,	0
451.0000000000001,	1.111,	0.0247296,	0
452.0000000000001,	1.112,	0.0243429,	0
453.0000000000001,	1.113,	0.0251287,	0
454.0000000000001,	1.1139999999999999,	0.024392800000000003,	0
455.0000000000001,	1.115,	0.0249167,	0
456.0000000000001,	1.116,	0.0247046,	0
457.0000000000001,	1.117,	0.0248169,	0
458.0000000000001,	1.1179999999999999,	0.024742100000000003,	0
459.0000000000001,	1.119,	0.0252285,	0
460.0000000000001,	1.12,	0.0246672,	0
461.0000000000001,	1.121,	0.0250663,	0
462.0000000000001,	1.1219999999999999,	0.0249666,	0
463.0000000000001,	1.123,	0.0249167,	0
464.0000000000001,	1.124,	0.0251786,	0
465.0000000000001,	1.125,	0.025078800000000002,	0
466.0000000000001,	1.126,	0.025303299999999997,	0
467.0000000000001,	1.127,	0.024754500000000002,	0
468.0000000000001,	1.1280000000000001,	0.0252409,	0
469.0000000000001,	1.129,	0.025041400000000002,	0
470.0000000000001,	1.13,	0.0251661,	0
471.0000000000001,	1.131,	0.0250539,	0
472.0000000000001,	1.1320000000000001,	0.0251786,	0
473.0000000000001,	1.133,	0.025453,	0
474.0000000000001,	1.134,	0.025004,	0
475.0000000000001,	1.135,	0.0253532,	0
476.0000000000001,	1.1360000000000001,	0.0252784,	0
477.0000000000001,	1.137,	0.0253532,	0
478.0000000000001,	1.138,	0.025253400000000002,	0
479.0000000000001,	1.139,	0.0253282,	0
480.0000000000001,	1.1400000000000001,	0.025303299999999997,	0
481.0000000000001,	1.141,	0.0253657,	0
482.0000000000001,	1.142,	0.0255652,	0
483.0000000000001,	1.143,	0.0253282,	0
484.0000000000001,	1.1440000000000001,	0.0257398,	0
485.0000000000001,	1.145,	0.025689899999999998,	0
486.0000000000001,	1.146,	0.0254405,	0
487.0000000000001,	1.147,	0.025615100000000002,	0
488.0000000000001,	1.1480000000000001,	0.0254405,	0
489.0000000000001,	1.149,	0.02564,	0
490.0000000000001,	1.15,	0.025652499999999998,	0
491.0000000000001,	1.151,	0.0253158,	0
492.0000000000001,	1.1520000000000001,	0.0254904,	0
493.0000000000001,	1.153,	0.025577700000000002,	0
494.0000000000001,	1.154,	0.0254405,	0
495.0000000000001,	1.155,	0.0258271,	0
496.0000000000001,	1.1560000000000001,	0.0255153,	0
497.0000000000001,	1.157,	0.025877,	0
498.0000000000001,	1.158,	0.025789700000000002,	0
